id,x,y,vx,vy,m
0,0.148645,-0.160907,-1.22122,0.880425,1.16875
1,-0.274454,-0.0283338,0.849698,0.00796209,1.47633
2,-0.0447666,0.0123927,0.698589,-2.68874,1.09979
3,-0.0432434,-0.0729646,1.35211,0.496107,1.97485
4,-0.0315156,0.337438,-0.0184715,-0.575354,0.519897
5,0.190004,0.0272428,-2.01639,-0.27737,0.846341
6,-0.328482,0.231703,0.372735,-0.41404,0.760047
7,-0.12149,-0.354484,0.246411,0.699501,0.811912
8,0.0141256,-0.128087,-1.46939,2.44192,1.09273
9,0.0955027,0.0464981,-0.330794,-1.12637,1.28125
